customer_id,age,gender,annual_income,education_level,bank_signup_date,loyalty_program,loyalty_points,loyalty_last_active,bank_last_active,acquisition_channel,customer_acquisition_cost,yearly_average_customer_revenue,customer_tenure_days
CUST000522,21,Male,72169,Associate,2021-06-20,1,360,2025-01-03,2025-03-07,Online,203.2,4271.52,1380
CUST000523,28,Female,39488,Master,2016-09-02,0,0,,2025-03-24,Referral,83.67,4887.69,3132
CUST000524,72,Female,73158,Bachelor,2017-09-22,0,0,,2025-03-31,Branch,440.11,3503.28,2747
CUST000525,35,Female,37551,High School,2015-04-26,0,0,,2025-03-31,Affiliate,182.98,7505.69,3627
CUST000526,77,Female,22306,Master,2024-06-19,1,17,2025-01-13,2025-01-17,Affiliate,344.44,255.03,285
CUST000527,41,Female,24375,PhD,2022-07-10,0,0,,2025-03-04,Direct Mail,263.05,1914.02,995
CUST000528,24,Male,56338,High School,2019-08-19,0,0,,2025-01-27,Online,102.54,4832.99,2051
CUST000529,51,Male,62626,Bachelor,2024-05-07,0,0,,2025-03-18,Referral,80.18,720.47,328
CUST000530,66,Female,34993,Associate,2016-02-18,1,325,2025-01-04,2025-01-21,Direct Mail,448.34,4554.18,3329
CUST000531,59,Male,75688,Associate,2018-11-04,1,543,2025-03-23,2025-03-19,Referral,134.83,4106.4,2339
CUST000532,45,Female,23964,High School,2018-04-29,1,102,2025-01-18,2025-01-01,Online,195.38,3550.4,2528
CUST000533,76,Male,53212,Bachelor,2017-04-13,0,0,,2024-06-14,Online,116.02,6020.99,2909
CUST000534,59,Female,30018,PhD,2015-10-20,0,0,,2025-03-29,Online,280.88,5698.86,3450
CUST000535,61,Female,39702,Bachelor,2016-07-31,0,0,,2024-12-02,Direct Mail,328.21,3397.03,3165
CUST000536,66,Female,56319,High School,2016-02-10,1,477,2025-02-26,2025-03-28,Branch,216.38,10407.12,3337
CUST000537,53,Male,35770,Bachelor,2024-10-08,1,12,2024-07-20,2025-03-05,Branch,208.22,368.75,174
CUST000538,71,Male,45379,Associate,2021-04-15,0,0,,2025-03-07,Direct Mail,564.03,3619.06,1446
CUST000539,50,Female,90965,Master,2024-05-16,0,0,,2024-09-22,Online,318.66,787.22,319
CUST000540,28,Female,41218,Bachelor,2020-07-01,0,0,,2025-03-15,Branch,231.99,3281.6,1734
CUST000541,78,Male,83527,High School,2018-06-16,0,0,,2025-03-25,Online,294.7,6247.47,2480
CUST000542,20,Female,31264,High School,2016-11-15,1,488,2025-02-02,2025-03-29,Branch,261.21,3852.18,3058
CUST000543,24,Male,71681,Bachelor,2018-04-19,0,0,,2024-11-19,Referral,136.38,7493.66,2538
CUST000544,62,Male,113082,Associate,2024-04-05,0,0,,2025-03-10,Branch,300.0,1718.61,360
CUST000545,46,Female,15982,Bachelor,2018-12-25,1,157,2025-02-14,2025-03-25,Affiliate,248.37,2692.19,2288
CUST000546,26,Female,36924,High School,2019-10-18,1,330,2025-01-29,2025-03-05,Referral,85.62,3379.85,1991
CUST000547,23,Male,73395,Associate,2023-09-18,1,175,2025-02-12,2025-03-12,Referral,120.7,1532.63,560
CUST000548,21,Male,49690,Bachelor,2022-02-17,1,215,2024-04-19,2025-03-21,Referral,89.16,1589.64,1138
CUST000549,49,Male,66214,Master,2017-01-20,0,0,,2025-03-05,Online,182.69,5163.67,2992
CUST000550,43,Female,40663,Master,2024-09-12,1,42,2025-02-21,2025-03-05,Online,184.35,192.54,200
CUST000551,20,Male,57433,High School,2023-12-31,1,77,2024-04-24,2025-01-05,Direct Mail,487.14,1008.85,456
CUST000552,37,Female,50881,Associate,2024-10-07,1,33,2025-02-19,2025-03-31,Online,217.84,444.02,175
CUST000553,48,Male,98615,High School,2019-08-06,1,906,2024-09-24,2025-03-30,Online,100.58,8981.54,2064
CUST000554,34,Female,62461,Bachelor,2019-06-22,1,289,2025-03-02,2025-03-01,Branch,481.98,4546.55,2109
CUST000555,78,Male,65113,Bachelor,2022-08-22,0,0,,2025-03-29,Online,342.71,1384.58,952
CUST000556,32,Female,44763,Master,2017-11-15,1,845,2025-01-15,2025-03-19,Online,119.72,3857.84,2693
CUST000557,45,Female,43100,Master,2021-03-28,1,231,2024-10-04,2025-03-15,Branch,372.1,3782.54,1464
CUST000558,77,Female,44303,Associate,2020-04-29,1,301,2024-12-09,2025-02-25,Branch,265.52,3133.62,1797
CUST000559,50,Female,66991,Bachelor,2019-10-23,1,666,2025-01-02,2025-03-12,Referral,56.88,5757.6,1986
CUST000560,65,Female,44560,Master,2021-10-06,1,262,2023-04-04,2025-03-11,Referral,120.58,2711.08,1272
CUST000561,39,Female,63575,Master,2016-05-26,1,755,2025-02-07,2025-03-23,Online,238.14,7661.33,3231
CUST000562,32,Female,155249,High School,2015-08-21,0,0,,2025-03-29,Online,147.29,18564.89,3510
CUST000563,38,Female,85020,Associate,2015-05-04,0,0,,2025-03-22,Online,273.94,11744.46,3619
CUST000564,57,Male,46726,Bachelor,2022-08-12,1,169,2025-01-31,2024-02-12,Branch,318.96,1497.02,962
CUST000565,31,Male,100277,High School,2024-12-04,1,23,2025-01-31,2025-03-12,Direct Mail,327.45,262.08,117
CUST000566,21,Female,44848,High School,2024-07-18,0,0,,2025-03-29,Online,118.12,560.94,256
CUST000567,57,Female,19851,High School,2024-11-14,0,0,,2025-03-04,Online,333.64,128.83,137
CUST000568,66,Male,33224,Bachelor,2016-06-28,1,321,2024-07-17,2025-03-08,Online,237.68,6659.34,3198
CUST000569,68,Female,21583,Associate,2016-05-25,0,0,,2025-03-21,Online,112.01,4394.06,3232
CUST000570,43,Male,46135,High School,2016-01-25,0,0,,2025-03-30,Branch,261.41,7428.54,3353
CUST000571,27,Male,55508,High School,2022-12-19,0,0,,2025-03-17,Direct Mail,561.59,1650.09,833
CUST000572,49,Female,127173,Master,2019-03-05,1,1184,2023-02-12,2025-03-18,Online,147.62,9735.13,2218
CUST000573,31,Male,64767,Master,2018-05-07,1,672,2025-01-31,2025-03-07,Referral,90.74,7924.29,2520
CUST000574,56,Female,49293,Bachelor,2015-07-09,1,870,2025-01-31,2025-03-26,Branch,479.84,5059.59,3553
CUST000575,33,Female,83265,Bachelor,2020-11-29,0,0,,2025-01-04,Online,285.22,2382.36,1583
CUST000576,23,Male,18206,PhD,2017-07-08,0,0,,2025-01-19,Online,108.37,2758.98,2823
CUST000577,62,Male,61876,High School,2017-07-01,1,613,2025-02-02,2025-03-15,Referral,74.87,4945.48,2830
CUST000578,72,Male,80863,High School,2016-11-21,0,0,,2025-03-25,Online,177.51,8542.46,3052
CUST000579,65,Female,26259,Associate,2024-12-17,0,0,,2025-03-04,Online,173.19,99.02,104
CUST000580,26,Female,97437,High School,2018-12-20,0,0,,2025-01-22,Affiliate,216.28,5656.76,2293
CUST000581,82,Male,65142,Associate,2019-10-05,0,0,,2025-03-01,Online,151.98,4493.9,2004
CUST000582,61,Female,44687,Master,2024-07-31,0,0,,2025-03-17,Online,126.95,532.46,243
CUST000583,19,Female,75469,Bachelor,2020-10-28,1,258,2025-03-12,2025-03-11,Branch,290.38,3038.07,1615
CUST000584,71,Female,171173,Bachelor,2016-07-30,0,0,,2025-03-18,Online,265.82,10477.18,3166
CUST000585,80,Male,60235,Master,2020-12-07,0,0,,2025-03-11,Online,278.55,3937.52,1575
CUST000586,31,Male,62267,High School,2017-05-14,1,858,2025-03-13,2025-03-27,Online,203.92,9911.57,2878
CUST000587,73,Male,43713,High School,2023-10-06,1,123,2025-02-10,2025-03-30,Online,285.36,1127.26,542
CUST000588,64,Male,35960,Bachelor,2020-05-06,0,0,,2025-03-08,Branch,402.44,2465.82,1790
CUST000589,76,Female,83304,Bachelor,2017-04-20,1,1115,2025-02-06,2025-03-20,Online,264.51,6526.61,2902
CUST000590,37,Female,35848,High School,2020-05-18,0,0,,2024-09-09,Direct Mail,523.5,3709.01,1778
CUST000591,73,Male,57003,Bachelor,2019-01-02,1,449,2025-03-28,2025-03-11,Branch,362.08,5058.97,2280
CUST000592,40,Female,43315,Bachelor,2023-08-15,1,122,2025-03-14,2025-03-23,Online,107.01,1162.73,594
CUST000593,84,Male,69883,Bachelor,2023-11-14,1,259,2024-07-21,2025-03-23,Online,238.04,1559.59,503
CUST000594,52,Female,64985,Bachelor,2020-04-03,1,445,2025-02-11,2025-02-27,Online,325.4,5375.2,1823
CUST000595,79,Male,92397,Associate,2023-11-04,0,0,,2025-03-03,Online,337.39,1685.53,513
CUST000596,77,Male,42620,High School,2018-04-06,1,239,2025-01-10,2025-01-28,Online,178.45,5166.86,2551
CUST000597,73,Female,48057,Bachelor,2021-01-15,1,221,2025-03-12,2025-03-17,Referral,120.78,3750.84,1536
CUST000598,52,Male,33715,High School,2021-03-22,1,214,2025-02-08,2025-03-17,Direct Mail,299.3,2394.04,1470
CUST000599,59,Male,44043,Master,2022-12-29,1,68,2025-02-13,2025-03-12,Referral,136.04,1464.06,823
CUST000600,49,Male,66419,Bachelor,2021-04-26,1,364,2025-03-30,2025-03-22,Online,195.36,3144.47,1435
CUST000601,29,Female,80304,Associate,2020-04-08,0,0,,2025-03-19,Referral,108.26,7439.15,1818
CUST000602,53,Female,34683,Bachelor,2024-07-07,1,37,2024-03-30,2025-03-26,Online,112.53,316.73,267
CUST000603,75,Female,84956,Bachelor,2022-06-30,1,453,2025-02-04,2025-03-30,Direct Mail,560.14,2236.1,1005
CUST000604,49,Male,108326,Associate,2022-07-25,1,537,2025-01-06,2025-03-09,Branch,396.15,2242.03,980
CUST000605,77,Female,67629,Master,2024-02-19,1,125,2025-03-09,2025-03-01,Online,261.66,1209.28,406
CUST000606,66,Male,140573,Master,2018-07-26,1,438,2025-03-12,2025-03-17,Direct Mail,590.3,9402.75,2440
CUST000607,61,Male,37353,Bachelor,2025-01-19,1,12,2024-03-30,2025-03-03,Direct Mail,403.35,176.96,71
CUST000608,21,Female,29518,High School,2022-08-14,0,0,,2025-03-27,Branch,285.81,1008.57,960
CUST000609,81,Male,22600,Bachelor,2020-07-14,0,0,,2025-03-08,Direct Mail,413.04,2212.94,1721
CUST000610,59,Female,116204,Bachelor,2016-10-13,0,0,,2025-03-19,Branch,256.5,6009.72,3091
CUST000611,41,Male,76288,High School,2016-09-22,1,1046,2022-08-01,2025-03-07,Online,109.38,10424.27,3112
CUST000612,80,Male,53492,High School,2016-02-09,1,699,2025-03-08,2025-03-04,Online,151.96,6662.48,3338
CUST000613,45,Male,63264,Master,2016-04-09,1,362,2025-03-04,2024-06-03,Online,179.63,7576.86,3278
CUST000614,63,Female,31330,High School,2019-02-25,0,0,,2025-03-10,Online,138.79,2789.83,2226
CUST000615,51,Female,186831,Bachelor,2018-10-18,0,0,,2025-03-27,Direct Mail,437.8,19148.74,2356
CUST000616,61,Female,58670,Bachelor,2024-08-26,1,35,2024-11-12,2025-03-12,Online,297.84,451.56,217
CUST000617,53,Female,58092,Bachelor,2016-03-04,1,455,2025-03-29,2025-03-27,Direct Mail,378.31,5332.91,3314
CUST000618,53,Female,79060,High School,2024-12-30,0,0,,2025-03-20,Online,111.73,138.44,91
CUST000619,19,Male,69953,Master,2015-05-17,0,0,,2025-03-31,Branch,248.6,4900.12,3606
CUST000620,84,Female,61514,Associate,2017-02-03,0,0,,2025-03-14,Branch,367.73,4904.71,2978
CUST000621,42,Female,37043,Bachelor,2022-05-13,0,0,,2025-03-06,Branch,483.3,2327.4,1053
CUST000622,28,Female,69621,Bachelor,2016-01-20,0,0,,2025-03-29,Branch,326.64,5616.36,3358
CUST000623,48,Female,140941,Bachelor,2024-07-12,1,53,2024-06-13,2025-03-08,Online,184.59,716.38,262
CUST000624,70,Male,107774,PhD,2024-04-22,0,0,,2025-03-04,Referral,94.85,999.73,343
CUST000625,80,Female,121988,Bachelor,2024-07-12,0,0,,2025-03-16,Affiliate,234.19,1237.32,262
CUST000626,48,Male,42594,Associate,2023-09-29,0,0,,2025-03-08,Referral,137.21,1368.08,549
CUST000627,78,Female,33533,PhD,2020-03-31,1,222,2024-05-03,2025-03-11,Online,330.57,3034.4,1826
CUST000628,80,Female,51647,Bachelor,2023-02-21,1,109,2025-03-12,2025-03-05,Online,139.87,1825.4,769
CUST000629,75,Female,56553,Associate,2021-12-30,1,436,2023-06-27,2025-03-16,Online,150.26,1547.85,1187
CUST000630,20,Female,95052,High School,2024-09-03,1,68,2024-03-30,2025-03-02,Branch,356.09,372.43,209
CUST000631,29,Male,23596,Master,2021-08-23,0,0,,2025-03-19,Branch,246.0,1117.61,1316
CUST000632,55,Male,118168,Associate,2021-03-30,1,872,2023-04-20,2025-03-02,Direct Mail,527.62,3242.8,1462
CUST000633,46,Female,50821,Bachelor,2018-05-30,1,244,2025-03-06,2025-03-30,Online,102.33,6036.8,2497
CUST000634,69,Female,44429,Bachelor,2017-10-26,0,0,,2025-03-26,Online,104.06,4659.16,2713
CUST000635,49,Female,33157,High School,2022-06-05,1,104,2025-03-29,2025-03-13,Direct Mail,365.57,1004.44,1030
CUST000636,57,Female,24044,Bachelor,2021-11-20,1,110,2025-01-27,2025-03-09,Affiliate,293.4,2186.65,1227
CUST000637,65,Female,83006,High School,2023-09-17,1,123,2025-02-09,2025-03-02,Affiliate,176.95,957.96,561
CUST000638,78,Female,57053,Bachelor,2018-05-15,0,0,,2025-03-12,Branch,261.32,5304.28,2512
CUST000639,85,Male,28857,Bachelor,2020-09-14,1,152,2025-03-11,2025-03-29,Referral,51.0,2370.31,1659
CUST000640,62,Female,28783,Bachelor,2019-10-19,0,0,,2025-03-07,Referral,52.2,2073.9,1990
CUST000641,72,Female,46499,Bachelor,2017-10-16,1,430,2025-02-21,2025-03-07,Direct Mail,319.04,4187.5,2723
CUST000642,60,Female,126702,Master,2023-10-17,0,0,,2025-03-23,Direct Mail,392.9,2778.61,531
CUST000643,63,Male,48305,Bachelor,2017-10-20,1,444,2025-01-20,2025-02-27,Branch,332.29,6421.25,2719
CUST000644,76,Male,25939,High School,2024-04-21,1,50,2025-02-24,2025-03-19,Online,283.52,497.47,344
CUST000645,52,Female,48640,High School,2024-04-23,1,67,2025-03-02,2025-03-02,Branch,236.86,558.17,342
CUST000646,57,Male,47988,Bachelor,2022-05-12,1,210,2025-03-07,2025-03-15,Online,325.23,2046.78,1054
CUST000647,50,Female,14280,Master,2019-01-26,1,136,2024-04-25,2025-03-10,Online,295.83,2732.32,2256
CUST000648,47,Male,53526,Master,2022-11-09,1,201,2025-01-13,2025-03-14,Online,191.3,1773.2,873
CUST000649,33,Male,49002,Master,2019-08-13,1,357,2025-01-27,2025-03-23,Direct Mail,535.52,4810.78,2057
CUST000650,42,Male,77900,Associate,2017-04-04,1,747,2023-01-12,2025-02-24,Online,209.38,4673.3,2918
CUST000651,58,Male,138630,Bachelor,2016-12-02,1,1609,2025-02-04,2025-03-25,Online,206.72,17126.65,3041
CUST000652,33,Female,96603,Bachelor,2016-01-17,1,1590,2025-03-11,2025-03-25,Online,293.98,12270.22,3361
CUST000653,41,Male,48081,High School,2021-02-28,0,0,,2025-03-25,Branch,382.9,3450.47,1492
CUST000654,42,Male,31628,High School,2015-07-15,0,0,,2025-03-17,Online,186.84,4766.7,3547
CUST000655,45,Female,199140,Master,2022-09-11,1,902,2024-04-25,2025-03-24,Affiliate,353.46,8315.46,932
CUST000656,79,Female,56652,High School,2020-03-11,1,352,2024-11-30,2025-03-29,Referral,74.91,3100.32,1846
CUST000657,53,Male,55384,High School,2017-03-03,0,0,,2024-10-24,Online,287.1,5637.7,2950
CUST000658,85,Female,54340,High School,2021-10-09,1,308,2025-02-14,2025-03-01,Branch,252.07,2335.67,1269
CUST000659,54,Female,60726,Master,2021-01-19,0,0,,2025-03-02,Online,260.44,3876.49,1532
CUST000660,30,Male,51169,Bachelor,2016-06-01,1,565,2023-12-13,2025-03-21,Online,152.65,6662.46,3225
CUST000661,42,Male,41285,Bachelor,2018-12-25,0,0,,2025-03-20,Online,119.56,4087.39,2288
CUST000662,55,Male,41842,Master,2021-11-19,1,188,2024-01-22,2025-03-09,Branch,471.05,2012.15,1228
CUST000663,47,Male,54106,Associate,2015-06-03,0,0,,2025-03-02,Referral,141.02,4554.04,3589
CUST000664,64,Male,41914,Bachelor,2017-11-01,1,353,2025-02-18,2025-03-26,Online,283.68,5279.32,2707
CUST000665,40,Male,38509,High School,2022-06-05,0,0,,2025-03-25,Direct Mail,444.65,1712.87,1030
CUST000666,56,Male,58006,High School,2019-04-05,1,436,2024-12-31,2025-03-20,Online,164.58,4249.08,2187
CUST000667,19,Male,48416,Master,2022-03-02,1,277,2025-01-29,2025-03-02,Referral,98.76,1607.95,1125
CUST000668,34,Male,116667,Bachelor,2021-08-03,0,0,,2025-02-03,Online,158.75,6546.5,1336
CUST000669,53,Male,14612,Associate,2017-05-04,1,157,2025-01-13,2025-03-28,Branch,265.04,4142.4,2888
CUST000670,23,Female,94924,Associate,2019-02-04,0,0,,2025-03-17,Online,279.18,5202.88,2247
CUST000671,24,Male,102552,Bachelor,2019-07-09,1,811,2025-02-22,2025-03-14,Direct Mail,582.77,6274.17,2092
CUST000672,55,Male,19504,High School,2023-12-30,0,0,,2025-03-02,Branch,239.54,527.58,457
CUST000673,34,Male,46339,High School,2024-07-23,1,23,2024-10-19,2025-03-29,Online,131.76,300.03,251
CUST000674,80,Female,45677,High School,2021-04-12,0,0,,2025-03-17,Direct Mail,353.6,1942.24,1449
CUST000675,31,Female,27209,Associate,2020-07-23,0,0,,2025-03-31,Online,117.03,1415.01,1712
CUST000676,19,Female,37278,Master,2017-04-03,1,358,2025-03-01,2025-03-25,Online,343.05,4250.53,2919
CUST000677,54,Male,31564,Associate,2018-03-11,0,0,,2025-03-04,Branch,374.46,5777.19,2577
CUST000678,78,Female,132088,High School,2019-09-18,0,0,,2025-03-03,Online,285.35,8247.45,2021
CUST000679,79,Female,87809,Bachelor,2022-01-11,1,348,2025-01-24,2025-03-02,Online,349.85,4389.07,1175
CUST000680,74,Female,103866,Master,2024-04-14,0,0,,2025-03-26,Online,292.64,1020.14,351
CUST000681,61,Female,78899,High School,2022-11-19,1,186,2025-01-27,2024-01-18,Online,122.72,2550.67,863
CUST000682,41,Female,31274,High School,2023-08-18,0,0,,2025-03-28,Online,279.42,832.51,591
CUST000683,24,Male,42312,Associate,2015-09-24,1,538,2025-03-04,2025-02-23,Branch,487.28,5525.55,3476
CUST000684,50,Male,70247,Bachelor,2019-04-29,1,481,2025-02-06,2025-03-12,Branch,398.58,4659.28,2163
CUST000685,79,Female,29852,Bachelor,2022-07-31,1,108,2025-01-28,2024-10-08,Online,133.1,1287.75,974
CUST000686,32,Male,78557,Master,2021-09-29,1,378,2025-03-30,2025-03-31,Online,113.03,4787.72,1279
CUST000687,26,Female,48772,PhD,2016-11-05,0,0,,2025-03-19,Online,193.32,2823.39,3068
CUST000688,69,Female,45600,Bachelor,2018-12-19,0,0,,2025-03-28,Online,209.84,6311.16,2294
CUST000689,80,Female,78477,Bachelor,2022-10-20,1,181,2024-07-26,2025-03-24,Referral,137.87,1925.55,893
CUST000690,27,Male,68680,Bachelor,2023-10-16,1,116,2025-01-10,2025-03-07,Online,203.4,1169.65,532
CUST000691,24,Female,45917,High School,2020-12-27,0,0,,2025-03-18,Online,307.83,3555.96,1555
CUST000692,37,Female,98199,PhD,2017-01-13,1,1095,2025-03-11,2025-03-24,Online,265.14,9515.24,2999
CUST000693,37,Male,32034,Associate,2016-01-05,1,532,2025-02-16,2025-03-05,Branch,363.94,4481.06,3373
CUST000694,56,Female,74836,High School,2016-04-30,1,954,2025-01-10,2025-03-15,Online,282.41,7948.6,3257
CUST000695,28,Male,73986,Bachelor,2023-07-29,1,131,2025-02-20,2025-03-10,Affiliate,389.61,1143.27,611
CUST000696,49,Female,47113,Associate,2024-10-06,1,33,2025-01-03,2025-03-21,Direct Mail,541.09,371.1,176
CUST000697,33,Male,64741,Bachelor,2022-07-13,0,0,,2025-03-27,Affiliate,269.07,2452.59,992
CUST000698,71,Female,29422,Bachelor,2017-05-02,1,467,2024-05-25,2025-03-17,Direct Mail,472.62,4271.46,2890
CUST000699,46,Male,87299,Bachelor,2020-03-24,0,0,,2025-01-28,Branch,348.56,5760.2,1833
CUST000700,84,Female,50143,Master,2017-11-16,1,625,2025-01-12,2025-03-14,Online,306.21,4171.43,2692
CUST000701,66,Male,42350,Associate,2016-08-05,1,566,2025-03-16,2025-03-13,Referral,91.39,6359.99,3160
CUST000702,75,Male,92929,Bachelor,2020-01-29,0,0,,2025-03-20,Branch,386.69,4367.32,1888
CUST000703,74,Female,38673,Bachelor,2023-11-20,1,85,2025-01-14,2025-03-19,Branch,449.72,1079.93,497
CUST000704,56,Male,27196,Bachelor,2024-12-04,1,16,2024-03-30,2025-03-28,Online,333.93,176.58,117
CUST000705,72,Male,25254,Bachelor,2019-07-28,0,0,,2025-03-25,Branch,254.86,2805.81,2073
CUST000706,57,Female,74465,Associate,2015-10-15,1,1237,2025-03-15,2025-03-25,Online,165.93,10199.42,3455
CUST000707,25,Female,28994,Bachelor,2024-10-14,0,0,,2025-03-17,Online,196.58,301.03,168
CUST000708,30,Male,132254,High School,2022-02-18,1,639,2024-04-03,2025-03-29,Online,259.95,4185.84,1137
CUST000709,44,Male,19421,Master,2022-01-18,0,0,,2025-03-03,Branch,268.22,1449.54,1168
CUST000710,45,Male,128452,Associate,2018-07-27,1,1504,2025-02-23,2025-03-10,Direct Mail,555.34,14952.66,2439
CUST000711,51,Male,61120,Bachelor,2020-11-09,1,240,2025-02-16,2025-01-25,Direct Mail,404.25,3635.43,1603
CUST000712,28,Female,52403,High School,2021-10-18,0,0,,2025-03-22,Branch,436.59,3307.28,1260
CUST000713,38,Female,41882,High School,2015-11-21,0,0,,2025-02-09,Referral,96.92,5675.3,3418
CUST000714,48,Male,67148,Bachelor,2024-03-20,1,50,2024-06-22,2025-03-23,Direct Mail,301.92,1199.59,376
CUST000715,40,Female,53974,Master,2024-06-30,1,56,2024-10-26,2025-03-13,Online,226.45,551.8,274
CUST000716,27,Male,95486,Bachelor,2022-01-13,1,415,2025-02-12,2025-03-30,Direct Mail,575.9,2936.65,1173
CUST000717,38,Male,58232,Master,2015-08-01,0,0,,2025-03-08,Online,144.97,10300.84,3530
CUST000718,18,Male,59292,Bachelor,2018-04-30,0,0,,2025-03-01,Online,179.16,8377.44,2527
CUST000719,70,Female,45856,Bachelor,2020-11-10,0,0,,2025-03-26,Branch,212.03,3742.55,1602
CUST000720,75,Female,53456,High School,2019-08-12,1,334,2025-01-18,2025-03-04,Branch,486.74,4144.06,2058
CUST000721,78,Male,64150,Master,2024-12-14,0,0,,2025-03-13,Online,295.49,295.42,107
CUST000722,55,Female,23388,High School,2015-06-29,1,378,2025-01-30,2025-03-21,Branch,302.97,4058.06,3563
CUST000723,22,Female,28029,Master,2020-11-15,1,71,2025-03-23,2025-03-30,Online,198.55,1625.2,1597
CUST000724,47,Male,79755,Master,2020-11-07,1,390,2024-12-21,2025-03-27,Online,233.44,3013.2,1605
CUST000725,54,Female,59905,Master,2020-03-09,0,0,,2025-03-04,Branch,413.78,2525.52,1848
CUST000726,54,Female,50166,Bachelor,2024-09-01,0,0,,2025-03-19,Online,328.71,596.41,211
CUST000727,76,Female,55509,Bachelor,2022-08-25,1,163,2025-02-02,2024-08-02,Branch,417.41,2349.97,949
CUST000728,27,Female,65439,Bachelor,2022-11-10,0,0,,2025-03-15,Referral,64.74,2295.69,872
CUST000729,47,Male,41990,High School,2020-11-29,0,0,,2025-02-26,Online,161.85,3290.06,1583
CUST000730,51,Male,37269,Bachelor,2023-02-05,1,54,2025-02-12,2025-03-05,Online,162.28,1107.02,785
CUST000731,43,Male,60658,High School,2017-10-06,1,873,2024-05-31,2025-03-28,Online,146.91,7932.52,2733
CUST000732,72,Female,33721,Bachelor,2020-05-01,0,0,,2025-03-18,Online,243.35,2388.47,1795
CUST000733,32,Female,67454,High School,2019-03-12,0,0,,2025-03-23,Branch,482.15,5086.33,2211
CUST000734,46,Male,23477,High School,2024-07-30,1,12,2025-02-28,2025-03-22,Affiliate,348.61,336.94,244
CUST000735,37,Female,92011,Associate,2017-10-04,1,753,2025-03-05,2025-03-30,Direct Mail,284.91,7669.29,2735
CUST000736,52,Female,69660,Bachelor,2021-09-29,1,412,2024-07-16,2025-03-24,Branch,225.36,2263.32,1279
CUST000737,36,Female,62511,Bachelor,2024-10-24,1,42,2025-01-02,2025-03-17,Online,344.83,318.43,158
CUST000738,27,Female,89898,High School,2019-02-03,0,0,,2024-09-17,Online,129.81,4885.63,2248
CUST000739,25,Male,126478,Bachelor,2016-08-10,1,968,2025-03-02,2025-01-16,Referral,95.79,16535.38,3155
CUST000740,39,Male,91333,High School,2021-04-07,0,0,,2025-03-23,Online,228.38,2400.22,1454
CUST000741,57,Female,21908,Bachelor,2024-11-15,1,13,2025-02-19,2025-03-05,Direct Mail,332.5,199.63,136
CUST000742,54,Female,29007,Bachelor,2018-05-04,1,289,2025-01-09,2025-03-28,Online,186.66,4423.86,2523
CUST000743,74,Male,40242,Bachelor,2016-09-14,1,776,2025-01-30,2025-03-19,Online,272.09,6156.22,3120
CUST000744,33,Female,55722,Bachelor,2021-05-24,0,0,,2025-03-16,Online,203.98,2526.36,1407
CUST000745,77,Female,71247,Associate,2015-11-17,1,994,2025-02-24,2025-03-14,Online,329.55,7037.94,3422
CUST000746,56,Male,38262,Bachelor,2022-03-22,0,0,,2025-03-28,Referral,111.42,1443.97,1105
CUST000747,69,Male,60383,Bachelor,2016-01-30,1,703,2022-09-09,2025-03-02,Branch,400.88,6080.07,3348
CUST000748,52,Male,37699,Bachelor,2016-09-19,1,317,2023-04-17,2025-03-27,Online,322.71,6735.67,3115
CUST000749,82,Female,40511,Bachelor,2018-07-16,1,280,2024-07-14,2025-03-03,Branch,469.64,2910.38,2450
CUST000750,81,Male,27221,High School,2022-09-27,1,68,2025-01-01,2025-03-17,Online,213.6,1571.26,916
CUST000751,74,Female,34664,Bachelor,2016-09-03,0,0,,2025-01-12,Branch,214.85,4499.81,3131
CUST000752,28,Female,27980,Bachelor,2024-11-09,1,20,2024-03-30,2025-03-06,Branch,447.31,242.3,142
CUST000753,23,Male,33764,Associate,2021-05-05,0,0,,2025-03-16,Branch,287.4,1718.73,1426
CUST000754,73,Female,93144,High School,2017-01-10,1,1022,2025-03-07,2025-03-10,Online,109.01,13600.54,3002
CUST000755,59,Female,34213,High School,2015-11-13,1,498,2025-03-15,2025-03-15,Online,257.32,4148.47,3426
CUST000756,50,Male,205105,Master,2018-03-13,1,2792,2024-07-19,2025-03-26,Affiliate,206.38,14901.63,2575
CUST000757,21,Female,70385,Bachelor,2020-04-19,1,135,2025-01-10,2025-03-02,Referral,65.11,2715.89,1807
CUST000758,29,Male,60325,High School,2015-06-16,0,0,,2025-03-26,Online,125.89,8058.09,3576
CUST000759,47,Male,35807,Associate,2020-05-15,0,0,,2025-03-29,Online,342.91,1959.63,1781
CUST000760,20,Male,78060,Bachelor,2016-05-22,1,1270,2025-01-17,2025-03-31,Branch,385.18,12412.99,3235
CUST000761,52,Male,41244,Master,2016-12-27,1,459,2024-09-04,2025-03-05,Referral,119.44,5648.18,3016
CUST000762,23,Male,58459,High School,2016-12-01,0,0,,2025-03-26,Branch,253.46,6750.26,3042
CUST000763,40,Male,197823,High School,2016-09-23,0,0,,2025-03-11,Online,179.58,14158.71,3111
CUST000764,78,Female,52420,Master,2024-07-11,0,0,,2025-03-29,Online,321.44,382.16,263
CUST000765,84,Female,97706,High School,2016-02-10,1,1340,2024-12-31,2025-03-03,Online,291.08,10565.61,3337
CUST000766,74,Male,38696,High School,2023-12-10,1,50,2025-01-15,2025-03-16,Online,223.5,1064.44,477
CUST000767,53,Female,54046,PhD,2018-12-17,0,0,,2025-03-03,Online,143.17,5427.05,2296
